havg	hmax	hmin	hv	savg	smax	smin	sv	vavg	vmax	vmin	vv	frame_edges_comp	frame_comp
4202914897920.0	176.0	0.0	990.0295352910783	2944123330560.0	255.0	0.0	1890.3531749059891	13347426078720.0	255.0	1.0	6400.535098011451	920.75	967.1019848432982
4229044469760.0	177.0	0.0	1042.8342702670202	2874176655360.0	255.0	0.0	1854.1875165240501	13344813834240.0	255.0	1.0	6408.273339695973	909.25	1029.5898742647291
4262493573120.0	177.0	0.0	1109.2625751265314	2788725473280.0	255.0	0.0	1801.3121525117451	13346304122880.0	255.0	2.0	6406.169502749359	941.0	983.15938268339
4295984394240.0	177.0	0.0	1172.805096454758	2711725916160.0005	255.0	0.0	1736.2827226207946	13348944691200.0	255.0	2.0	6402.898182168176	932.25	1038.1442220908157
4324109414400.0	177.0	0.0	1228.280961001979	2655310417920.0	255.0	0.0	1703.8779060649556	13348120842240.0	255.0	2.0	6405.48450804311	820.5	1081.917758550932
4345524449280.0	177.0	0.0	1284.2957047229875	2599417036800.0	255.0	0.0	1681.0970662074408	13345673687040.0	255.0	2.0	6409.926869023248	724.0	1008.3107746413119
4397573345280.0	179.0	0.0	1381.9593161774214	2524498206720.0	255.0	0.0	1641.8665311963612	13339901337600.0	255.0	2.0	6420.554393137762	741.5	1020.8678612554852
4453944238080.0	179.0	0.0	1504.5318055676357	2460560855040.0	255.0	0.0	1625.9104691595396	13327015403520.0	255.0	0.0	6449.06624989961	856.0	1103.025704728376
4517498634240.0	179.0	0.0	1690.270618448088	2375008665600.0	255.0	0.0	1597.6232456093894	13313885122560.0	255.0	0.0	6484.283734912076	1014.25	1230.0900918635168
4580336578560.0	179.0	0.0	1872.867819329442	2295102197760.0	255.0	0.0	1591.4175157590548	13297010442240.0	255.0	0.0	6533.924497541937	1196.0	1472.7180251678024
4640056320000.0	179.0	0.0	2073.4088932423483	2213393387520.0	255.0	0.0	1577.5324869128228	13278758952960.0	255.0	0.0	6585.996704555724	1355.25	1606.5876176174618
4679728803840.0	179.0	0.0	2247.3559816102875	2152751861760.0	255.0	0.0	1571.3271882018512	13263295610880.0	255.0	0.0	6634.222400226552	1426.25	1573.5911184666202
4706421964800.0	179.0	0.0	2408.870919500033	2100097167360.0	255.0	0.0	1568.0302563730343	13250100019200.0	255.0	0.0	6675.701392103619	1452.5	1505.9620463653387
4734476943360.0	179.0	0.0	2524.5432339297613	2076769382400.0	255.0	0.0	1599.5089447578748	13236541992960.0	255.0	0.0	6712.667666945786	1410.25	1281.9994673917618
4756412559360.0	179.0	0.0	2640.2810037170725	2040305049600.0	255.0	0.0	1587.7576317854348	13230589317120.0	255.0	0.0	6726.955025740443	1349.25	1156.793260768874
4781615554560.0	179.0	0.0	2721.725296354103	2014552412160.0	255.0	0.0	1570.4702072864638	13227049820160.0	255.0	0.0	6736.863758284229	1247.25	1078.1388490041684
4807209062400.0	179.0	0.0	2805.748063517305	1987787304960.0	255.0	0.0	1557.5262900278833	13224980582400.0	255.0	1.0	6743.452485713651	1111.5	974.3809055118109
4832174899200.0	179.0	0.0	2856.3463962749906	1968718295040.0	255.0	0.0	1542.9535526560571	13224966942720.0	255.0	1.0	6744.690880882336	1055.5	1023.3350230307178
4839598325760.0	179.0	0.0	2871.8645453016493	1958465925120.0	255.0	0.0	1524.4434009391043	13225809039360.0	255.0	1.0	6743.374048231877	925.25	986.7481482057826
4847462522880.0	179.0	0.0	2890.630888321135	1951075061760.0	255.0	0.0	1518.0147397658561	13226523893760.0	255.0	1.0	6742.994659758207	856.0	959.8601311817251
